,country,points,price,variety
793,28,88,125.0,0
794,28,88,14.0,13
795,0,88,20.0,9
796,14,88,25.0,26
797,9,88,28.0,13
798,28,88,42.0,22
799,28,88,13.0,13
800,26,88,18.0,26
801,28,88,60.0,5
802,26,88,28.0,25
803,20,88,16.0,13
804,28,88,22.0,5
805,28,88,28.0,24
806,0,87,15.0,9
807,20,87,70.0,0
808,26,85,15.0,17
809,2,85,20.0,8
810,15,85,17.0,12
811,28,85,24.0,14
812,15,85,28.0,26
813,28,85,16.0,10
814,9,85,12.0,3
815,9,85,12.0,5
816,28,85,10.0,10
817,26,85,25.0,26
818,28,85,12.0,12
819,2,85,10.0,8
820,6,85,11.0,17
821,28,85,16.0,24
822,15,85,35.36879626183683,12
823,9,85,11.0,1
824,9,85,25.0,17
825,15,85,35.36879626183683,17
826,28,94,38.0,27
827,28,94,34.0,14
828,28,94,100.0,14
829,28,94,95.0,14
830,28,94,62.0,14
831,15,94,57.0,11
832,22,94,150.0,15
833,28,94,52.0,5
834,9,94,112.0,14
835,15,94,180.0,11
836,28,94,35.0,5
837,28,94,85.0,5
838,28,94,32.0,19
839,28,94,32.0,19
840,28,94,120.0,24
841,28,94,85.0,9
842,9,94,120.0,2
843,28,94,38.0,27
844,28,94,32.0,19
845,28,94,58.0,14
846,28,94,85.0,24
847,28,94,80.0,2
848,28,94,75.0,14
849,28,94,50.0,14
850,9,94,60.0,14
851,28,94,60.0,14
852,28,90,28.0,3
853,6,90,25.0,17
854,28,90,19.0,5
855,6,90,35.0,17
856,2,90,35.36879626183683,5
857,28,90,45.0,5
858,28,90,13.0,22
859,9,90,15.0,24
860,15,90,22.0,11
861,28,90,35.0,2
862,28,90,20.0,27
863,28,90,38.0,18
864,15,90,70.0,17
865,26,90,60.0,25
866,26,90,25.0,23
867,9,90,17.0,18
868,28,90,15.0,22
869,15,90,38.0,21
870,26,90,27.0,25
871,28,90,10.0,10
872,28,90,56.0,27
873,15,90,18.0,17
874,9,90,32.0,26
875,9,90,24.0,23
876,28,84,16.0,19
877,28,84,40.0,13
878,28,84,20.0,17
879,28,84,38.0,14
880,9,84,20.0,0
881,9,84,18.0,0
882,9,84,35.36879626183683,0
883,6,84,13.0,9
884,28,84,65.0,3
885,20,84,16.0,22
886,9,84,14.0,0
887,9,84,20.0,0
888,9,84,15.0,0
889,6,84,11.0,22
890,28,84,27.0,17
891,28,84,100.0,3
892,28,84,25.0,5
893,6,84,18.0,5
894,28,84,13.0,5
895,28,84,28.0,27
896,9,83,12.0,0
897,28,83,17.0,10
898,9,83,30.0,0
899,28,83,45.0,26
900,28,87,24.0,17
901,2,87,23.0,8
902,12,87,13.0,26
903,28,86,23.0,3
904,28,86,18.0,10
905,28,86,26.0,0
906,0,86,17.0,5
907,11,86,20.0,19
908,28,86,48.0,14
909,28,86,40.0,14
910,0,86,12.0,10
911,2,86,12.0,8
912,22,88,14.0,20
913,0,88,19.0,3
914,9,88,10.0,23
915,28,88,26.0,13
916,15,88,50.0,11
917,1,88,13.0,22
918,15,88,49.0,11
919,15,88,50.0,11
920,22,88,19.0,15
921,9,88,14.0,5
922,9,88,28.0,5
923,9,88,70.0,5
924,28,88,13.0,5
925,9,88,40.0,5
926,0,88,16.0,9
927,0,87,40.0,9
928,0,87,20.0,0
929,28,87,35.0,5
930,15,87,90.0,11
931,1,87,13.0,12
932,11,87,10.0,19
933,9,87,32.0,5
934,28,87,26.0,25
935,28,87,14.0,27
936,22,87,10.0,15
937,15,87,75.0,11
938,28,87,35.0,5
939,15,93,80.0,11
940,22,93,55.0,15
941,28,93,24.0,23
942,28,93,52.0,3
943,28,93,115.0,0
944,28,93,60.0,14
945,28,93,40.0,14
946,28,93,55.0,22
947,22,93,28.0,15
948,28,93,60.0,24
949,28,93,75.0,24
950,9,93,40.0,0
951,28,93,58.0,14
952,28,93,55.0,24
953,28,93,65.0,23
954,22,93,75.0,15
955,28,93,49.0,5
956,28,93,32.0,14
957,28,93,55.0,14
958,22,93,32.0,15
959,28,93,65.0,14
960,28,93,40.0,17
961,28,92,50.0,25
962,28,92,42.0,14
963,28,92,60.0,14
964,28,92,48.0,17
965,28,92,36.0,5
966,15,88,16.0,21
967,9,88,9.0,0
968,15,88,35.0,21
969,9,88,40.0,0
970,28,88,13.0,5
971,25,88,17.0,5
972,28,88,50.0,0
973,25,88,35.0,22
974,28,88,40.0,3
975,25,88,13.0,22
976,28,88,50.0,17
977,28,88,20.0,17
978,15,88,35.36879626183683,21
979,11,88,22.0,19
980,28,88,7.0,5
981,28,88,10.0,5
982,25,88,15.0,10
983,28,88,40.0,3
984,26,88,21.0,25
985,26,85,7.0,25
986,15,85,22.0,26
987,15,85,35.36879626183683,17
988,28,85,13.0,19
989,28,85,35.0,14
990,28,85,16.0,19
991,28,85,20.0,2
992,28,85,34.0,3
993,28,84,15.0,5
994,15,84,28.0,5
995,28,84,10.0,10
996,28,84,70.0,3
997,28,84,24.0,22
998,22,84,35.36879626183683,16
999,26,84,8.0,25
1000,26,84,27.0,25
1001,28,84,10.0,19
1002,9,84,35.36879626183683,5
1003,20,84,17.0,14
1004,28,89,35.0,3
1005,15,89,19.0,17
1006,11,89,13.0,19
1007,28,89,75.0,3
1008,26,89,30.0,17
1009,28,89,25.0,5
1010,28,89,36.0,24
1011,28,89,35.0,5
1012,9,89,20.0,22
1013,9,89,21.0,22
1014,11,89,28.0,19
1015,11,89,20.0,19
1016,26,89,20.0,3
1017,28,89,40.0,14
1018,22,89,13.0,16
1019,28,89,45.0,27
1020,28,89,40.0,0
1021,28,89,32.0,5
1022,28,89,34.0,3
1023,28,90,98.0,3
1024,20,90,25.0,22
1025,2,90,18.0,26
1026,26,90,25.0,23
1027,2,90,15.0,8
1028,26,90,36.0,23
1029,28,90,35.0,24
1030,28,90,56.0,24
1031,20,90,25.0,5
1032,28,90,38.0,14
1033,9,90,28.0,17
1034,9,90,13.0,0
1035,28,90,38.0,24
1036,28,90,22.0,22
1037,28,90,18.0,20
1038,9,90,21.0,20
1039,9,90,23.0,20
1040,9,90,30.0,20
1041,2,90,20.0,8
1042,28,90,39.0,3
1043,28,90,38.0,18
1044,28,86,10.0,19
1045,9,86,35.36879626183683,0
1046,9,86,35.36879626183683,0
1047,9,86,14.0,20
1048,28,86,30.0,17
1049,28,86,35.0,17
1050,9,86,75.0,0
1051,28,86,17.0,14
1052,9,86,35.36879626183683,0
1053,9,87,15.0,20
1054,6,87,9.0,3
1055,9,87,40.0,20
1056,28,87,20.0,5
1057,15,86,35.36879626183683,26
1058,28,86,13.0,20
1059,28,86,28.0,24
1060,28,86,20.0,27
1061,9,86,15.0,20
1062,28,86,18.0,24
1063,22,86,11.0,16
1064,28,86,18.0,3
1065,28,86,12.0,20
1066,15,88,25.0,12
1067,11,88,14.0,19
1068,28,88,36.0,9
1069,28,88,42.0,14
1070,28,88,48.0,14
1071,28,88,35.36879626183683,11
1072,0,88,19.0,9
1073,28,88,50.0,2
1074,11,88,16.0,19
1075,22,88,11.0,15
1076,28,88,25.0,2
1077,15,88,23.0,12
1078,15,88,28.0,12
1079,28,88,22.0,26
1080,28,88,15.0,5
1081,28,88,70.0,3
1082,11,88,9.0,19
1083,28,88,16.0,14
1084,9,93,35.36879626183683,18
1085,9,93,31.0,7
1086,9,93,30.0,13
1087,28,93,38.0,27
1088,28,93,45.0,3
1089,28,93,50.0,0
1090,9,93,35.36879626183683,7
1091,28,93,86.0,3
1092,28,92,55.0,3
1093,9,92,28.0,13
1094,9,92,45.0,13
1095,28,92,85.0,3
1096,28,92,50.0,17
1097,28,92,120.0,0
1098,9,92,25.0,17
1099,9,92,40.0,18
1100,25,92,50.0,0
1101,28,92,40.0,3
1102,9,92,35.36879626183683,18
1103,2,92,46.0,8
1104,28,92,39.0,10
1105,28,92,85.0,3
1106,2,92,35.36879626183683,14
1107,28,94,75.0,18
1108,28,94,120.0,3
1109,9,94,25.0,17
1110,9,94,80.0,5
1111,22,94,85.0,15
1112,28,94,28.0,26
1113,9,94,180.0,18
1114,9,94,85.0,14
1115,9,94,135.0,14
1116,15,94,125.0,21
1117,9,94,90.0,14
1118,15,94,154.0,17
1119,28,94,70.0,18
1120,28,94,150.0,3
1121,11,94,56.0,19
1122,9,94,49.0,9
1123,28,94,72.0,3
1124,28,93,35.0,22
1125,15,93,70.0,21
1126,9,93,132.0,14
1127,28,93,38.0,24
1128,22,93,20.0,15
1129,28,93,175.0,3
